,len_original,ip_id,total_length,fragment_offset,tcp_seq_no,tcp_ack_no,tcp_data_off,tcp_window
592,60.0,10684.0,20.0,64.0,1199699100.0,2988835000.0,5.0,1728.0
593,74.0,0.0,40.0,64.0,1201718700.0,1410883800.0,10.0,5792.0
594,74.0,0.0,40.0,64.0,1201718700.0,1410883800.0,10.0,5792.0
595,66.0,18585.0,32.0,64.0,1410883800.0,1201718700.0,8.0,502.0
596,134.0,18586.0,100.0,64.0,1410883800.0,1201718700.0,8.0,502.0
597,66.0,7067.0,32.0,64.0,1201718700.0,1410883800.0,8.0,1448.0
598,66.0,7068.0,32.0,64.0,1201718700.0,1410883800.0,8.0,1448.0
599,66.0,0.0,32.0,64.0,1213626900.0,3941342700.0,8.0,5840.0
600,66.0,0.0,32.0,64.0,1213626900.0,3941342700.0,8.0,5840.0
601,54.0,29601.0,20.0,64.0,3941342700.0,1213626900.0,5.0,517.0
602,563.0,29602.0,529.0,64.0,3941342700.0,1213626900.0,5.0,517.0
603,60.0,42966.0,20.0,64.0,1213626900.0,3941343200.0,5.0,1728.0
604,60.0,42967.0,20.0,64.0,1213626900.0,3941343200.0,5.0,1728.0
605,66.0,0.0,32.0,64.0,1203990500.0,2521772800.0,8.0,5840.0
606,66.0,0.0,32.0,64.0,1203990500.0,2521772800.0,8.0,5840.0
607,54.0,29712.0,20.0,64.0,2521772800.0,1203990500.0,5.0,6146.0
608,122.0,29713.0,88.0,64.0,2521772800.0,1203990500.0,5.0,6146.0
609,60.0,45517.0,20.0,64.0,1203990500.0,2521773000.0,5.0,1460.0
610,60.0,45518.0,20.0,64.0,1203990500.0,2521773000.0,5.0,1460.0
611,66.0,0.0,32.0,64.0,1208239400.0,105846260.0,8.0,5840.0
612,66.0,0.0,32.0,64.0,1208239400.0,105846260.0,8.0,5840.0
613,54.0,57762.0,20.0,64.0,105846260.0,1208239400.0,5.0,255.0
614,122.0,57763.0,88.0,64.0,105846260.0,1208239400.0,5.0,255.0
615,60.0,39782.0,20.0,64.0,1208239400.0,105846320.0,5.0,1460.0
616,60.0,39783.0,20.0,64.0,1208239400.0,105846320.0,5.0,1460.0
617,74.0,59065.0,40.0,64.0,1209153800.0,0.0,10.0,5840.0
618,74.0,59065.0,40.0,64.0,1209153800.0,0.0,10.0,5840.0
619,66.0,0.0,32.0,64.0,1220268400.0,28364160.0,8.0,5840.0
620,66.0,0.0,32.0,64.0,1220268400.0,28364160.0,8.0,5840.0
621,54.0,26975.0,20.0,64.0,28364160.0,1220268400.0,5.0,255.0
